year,month,time,ts,m,temperature
1783,2,1783-2-15 00:00:00,1783.125,feb,3
1783,3,1783-3-15 00:00:00,1783.2083333333333,mar,1.7
1783,4,1783-4-15 00:00:00,1783.2916666666667,apr,8.3
1783,5,1783-5-15 00:00:00,1783.375,may,13.1
1783,6,1783-6-15 00:00:00,1783.4583333333333,jun,16.9
1783,7,1783-7-15 00:00:00,1783.5416666666667,jul,19.1
1783,8,1783-8-15 00:00:00,1783.625,aug,17.5
1783,9,1783-9-15 00:00:00,1783.7083333333333,sep,14.3
1783,10,1783-10-15 00:00:00,1783.7916666666667,oct,9.3
1783,11,1783-11-15 00:00:00,1783.875,nov,3.3
1783,12,1783-12-15 00:00:00,1783.9583333333333,dec,-3
1784,1,1784-1-15 00:00:00,1784.0416666666667,jan,-6.1
1784,2,1784-2-15 00:00:00,1784.125,feb,-3.5
1784,3,1784-3-15 00:00:00,1784.2083333333333,mar,1
1784,4,1784-4-15 00:00:00,1784.2916666666667,apr,4.8
1784,5,1784-5-15 00:00:00,1784.375,may,14.1
1784,6,1784-6-15 00:00:00,1784.4583333333333,jun,16.1
1784,7,1784-7-15 00:00:00,1784.5416666666667,jul,16.9
1784,8,1784-8-15 00:00:00,1784.625,aug,16.1
1784,9,1784-9-15 00:00:00,1784.7083333333333,sep,14.6
1784,10,1784-10-15 00:00:00,1784.7916666666667,oct,5.1
1784,11,1784-11-15 00:00:00,1784.875,nov,4
1784,12,1784-12-15 00:00:00,1784.9583333333333,dec,-1.5
1785,1,1785-1-15 00:00:00,1785.0416666666667,jan,-2.1
1785,2,1785-2-15 00:00:00,1785.125,feb,-3
1785,3,1785-3-15 00:00:00,1785.2083333333333,mar,-3.7
1785,4,1785-4-15 00:00:00,1785.2916666666667,apr,4.3
1785,5,1785-5-15 00:00:00,1785.375,may,11.5
1785,6,1785-6-15 00:00:00,1785.4583333333333,jun,14.6
1785,7,1785-7-15 00:00:00,1785.5416666666667,jul,16.1
1785,8,1785-8-15 00:00:00,1785.625,aug,15.6
